"","ONDERWIJSSOORT","INSTELLINGSCODE","INSTELLINGSNAAM","INSTELLING_ADRES","INSTELLING_POSTCODE","INSTELLING_PLAATS","INSTELLING_PROVINCIE","INSTELLING_GEMEENTECODE","INSTELLING_GEMEENTENAAM","TELLING_VOTOTAAL_2017","TELLING_VOTOTAAL_2018","TELLING_VOTOTAAL_2019","TELLING_VOTOTAAL_2020","TELLING_VOTOTAAL_2021","TELLING_VOTOTAAL_2022","PROGNOSES_VOTOTAAL_2023","PROGNOSES_VOTOTAAL_2024","PROGNOSES_VOTOTAAL_2025","PROGNOSES_VOTOTAAL_2026","PROGNOSES_VOTOTAAL_2027","PROGNOSES_VOTOTAAL_2028","PROGNOSES_VOTOTAAL_2029","PROGNOSES_VOTOTAAL_2030","PROGNOSES_VOTOTAAL_2031","PROGNOSES_VOTOTAAL_2032","PROGNOSES_VOTOTAAL_2033","PROGNOSES_VOTOTAAL_2034","PROGNOSES_VOTOTAAL_2035","PROGNOSES_VOTOTAAL_2036","PROGNOSES_VOTOTAAL_2037","PROGNOSES_VOTOTAAL_2038","PROGNOSES_VOTOTAAL_2039","PROGNOSES_VOTOTAAL_2040","PROGNOSES_VOTOTAAL_2041","PROGNOSES_VOTOTAAL_2042","BRJ_2017","BRJ_2018","BRJ_2019","BRJ_2020","BRJ_2021","BRJ_2022","BRJ_2023","BRJ_2024","BRJ_2025","BRJ_2026","BRJ_2027","BRJ_2028","BRJ_2029","BRJ_2030","BRJ_2031","BRJ_2032","BRJ_2033","BRJ_2034","BRJ_2035","BRJ_2036","BRJ_2037","BRJ_2038","BRJ_2039","BRJ_2040","BRJ_2041","BRJ_2042","VMBO_2017","VMBO_2018","VMBO_2019","VMBO_2020","VMBO_2021","VMBO_2022","VMBO_2023","VMBO_2024","VMBO_2025","VMBO_2026","VMBO_2027","VMBO_2028","VMBO_2029","VMBO_2030","VMBO_2031","VMBO_2032","VMBO_2033","VMBO_2034","VMBO_2035","VMBO_2036","VMBO_2037","VMBO_2038","VMBO_2039","VMBO_2040","VMBO_2041","VMBO_2042","HAVO_2017","HAVO_2018","HAVO_2019","HAVO_2020","HAVO_2021","HAVO_2022","HAVO_2023","HAVO_2024","HAVO_2025","HAVO_2026","HAVO_2027","HAVO_2028","HAVO_2029","HAVO_2030","HAVO_2031","HAVO_2032","HAVO_2033","HAVO_2034","HAVO_2035","HAVO_2036","HAVO_2037","HAVO_2038","HAVO_2039","HAVO_2040","HAVO_2041","HAVO_2042","VWO_2017","VWO_2018","VWO_2019","VWO_2020","VWO_2021","VWO_2022","VWO_2023","VWO_2024","VWO_2025","VWO_2026","VWO_2027","VWO_2028","VWO_2029","VWO_2030","VWO_2031","VWO_2032","VWO_2033","VWO_2034","VWO_2035","VWO_2036","VWO_2037","VWO_2038","VWO_2039","VWO_2040","VWO_2041","VWO_2042","PRO_2017","PRO_2018","PRO_2019","PRO_2020","PRO_2021","PRO_2022","PRO_2023","PRO_2024","PRO_2025","PRO_2026","PRO_2027","PRO_2028","PRO_2029","PRO_2030","PRO_2031","PRO_2032","PRO_2033","PRO_2034","PRO_2035","PRO_2036","PRO_2037","PRO_2038","PRO_2039","PRO_2040","PRO_2041","PRO_2042","BEVOEGDGEZAGNUMMER","BEVOEGDGEZAGNAAM","BEVOEGDGEZAG_ADRES","BEVOEGDGEZAG_POSTCODE","BEVOEGDGEZAG_PLAATS","BEVOEGDGEZAG_PROVINCIE","BEVOEGDGEZAG_GEMEENTECODE","BEVOEGDGEZAG_GEMEENTENAAM"
"1","VO","00AH","Openbare Scholengemeenschap Het Stedelijk Lyceum Havo Mavo Vbo Lwoo","Lyceumlaan 30","7522GK","ENSCHEDE","Overijssel","0153","ENSCHEDE",3468,3413,3312,3142,3104,3388,3374.69753926268,3331.3694181424,3302.93279918514,3195.90258214523,3101.21727926938,3006.30385567998,2925.38393035744,2869.62002107035,2804.37415791221,2735.35764518224,2698.70176160434,2659.8915093134,2619.48751970998,2613.7283839214,2630.85532261345,2655.45902023057,2680.96705703392,2706.15756738797,2731.77600965109,2744.56930953795,1612,1555,1438,1332,1288,1631,1705.60841021882,1593.81374731071,1472.87339326763,1415.59281781168,1408.5544232336,1377.89046611394,1327.78318906395,1298.14527309069,1279.27933013378,1247.82260051905,1237.27736958767,1229.07220142488,1206.77225355276,1215.31300946957,1246.41994416299,1271.54812340486,1281.84223815658,1279.6863676293,1287.73820443238,1294.70492101939,815,837,814,704,656,608,606.8054480866,680.610513000603,724.727553121208,666.949730307706,617.085674483696,599.660759199253,595.696635887046,583.042391995034,560.514442571513,547.203154658466,538.958436156659,526.213481343534,520.430682591614,518.141211645651,510.2831346515,511.466709921711,523.125764730525,535.401199937776,539.320076401942,539.196342242614,534,482,523,578,622,596,529.272935579227,548.47867385938,585.699551689217,593.162764416274,557.873617758673,535.312546220414,526.05789888231,522.873921409261,508.898964311087,494.71705817832,485.459540438532,476.574902797191,469.292228900655,462.683459799548,461.130884795956,458.785290761281,461.743327639381,470.541442864327,478.339580359581,480.584496150306,507,539,537,528,538,553,533.010745378034,508.466483971703,519.632301107094,520.19726960957,517.703563793414,493.440084146372,475.84620652414,465.558434575365,455.681420895831,445.614831826406,437.006415421487,428.030923747799,422.992354664949,417.590703006629,413.021359003006,413.658896142711,414.255726507429,420.528556956566,426.378148457182,430.08355012564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"41804","Stichting Het Stedelijk Lyceum Enschede","Tiemeister 20","7541WG","ENSCHEDE","Overijssel","0153","ENSCHEDE"
"2","VO","00AQ","Zwin College Scholengemeenschap voor Vmbo Havo Atheneum Gymnasium","Nieuwstraat 50","4501BE","OOSTBURG","Zeeland","1714","SLUIS",871,792,764,752,722,722,775.992569027548,786.17932221369,776.17811632121,792.451862254577,791.462157999945,787.644711474937,805.81734193743,790.263316861575,756.307915702083,750.79554759552,733.034194026095,720.046751584688,737.504670101296,758.466571510202,746.719147531697,761.26469591045,767.497761806273,776.75438345959,784.161816622767,779.735764598787,326,312,293,298,307,291,324.586402768492,333.769750233599,315.301449420178,320.164616181809,331.123843622781,320.173355366155,314.43028761213,304.253269027434,282.895960427696,295.496460254962,299.637187455972,286.256763129248,285.284711741848,306.102812199124,296.044677969148,302.621948931106,311.107276005896,315.354925432609,316.473281875438,308.812990897885,236,213,212,207,175,168,178.358135319577,173.122492313976,179.363674414157,183.748442950332,174.524969128861,178.605423351761,190.767459277378,183.167508195535,176.624728154477,168.346286906222,160.335668409494,162.743773165466,172.041064012765,166.67082178414,168.604606341769,172.132578656839,168.761624107764,174.240474684909,177.349934283167,178.330114826842,181,156,150,152,148,164,176.797644085367,179.948182319657,178.81121072683,185.335435003035,184.129134650481,184.940572343058,194.109574738969,196.340847160716,190.538070100314,183.780303298677,174.747393297881,173.027474368479,180.553520841301,184.874318610646,179.957696882274,183.466972896524,185.532063834897,183.078465256733,187.023615269384,188.611241608147,128,111,109,95,92,99,96.2503868541118,99.3388973464585,102.701781760045,103.203368119401,101.684210597823,103.925360413962,106.510020308953,106.501692477889,106.249157019596,103.172497135659,98.3139448627477,98.018740921495,99.6253735053816,100.818618916293,102.112166338506,103.04319542598,102.096797857717,104.080518085339,103.314985194777,103.981417265913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"42770","Stichting Voortgezet Onderwijs Zeeuws-Vlaanderen","Oude Vaart 1","4537CD","TERNEUZEN","Zeeland","0715","TERNEUZEN"
"3","VO","00BD","Coenecoop College voor Atheneum Havo Mavo Voorbereidend Beroeps Onderwijs","Oude Dreef 6","2741ST","WADDINXVEEN","Zuid-Holland","0627","WADDINXVEEN",1031,1042,1036,1029,1057,1083,1135.52035297767,1138.75615824649,1159.47319730418,1189.25540455227,1217.21035505371,1255.0863330356,1288.78780545811,1318.47592432951,1349.39973804354,1382.63815411588,1419.82142091672,1449.04706538231,1479.49459329205,1501.9887641328,1542.03097540931,1593.05767833346,1654.49501756169,1713.54120393656,1770.07183223347,1830.32704765902,378,394,440,451,449,442,473.238540098881,488.276968884445,492.193113243186,512.465126374123,521.223326443184,531.896538181155,544.640709449324,558.258083402027,566.198420880507,583.064100596878,612.114002823375,622.835012782738,620.108586695117,637.648480376876,671.14714375078,700.994379019762,722.176837668602,743.675211829404,765.403616611327,790.509132344206,265,262,255,268,275,259,269.621602763994,260.561400429114,270.071360174817,276.842312696511,280.540387151445,291.8876286246,298.034421260375,302.54721453158,311.437513902791,318.563437984274,319.66068896508,326.948487430217,342.765998447328,344.886206186251,342.900603941027,352.764574618829,372.76879255369,387.887131057701,400.111244344425,415.206296570965,239,237,206,169,182,241,246.228147388231,244.752349194379,247.63067736206,250.844764016635,262.782602647821,272.302675308938,282.943899715512,289.719486042334,298.401306197699,304.604300857617,309.098467498622,315.329755662508,326.380443274826,328.651419092989,333.996171678422,339.831166007251,353.419794731788,368.401615958936,382.25536665278,394.516766510171,149,149,135,141,151,141,146.432062726566,145.16543973855,149.578046524115,149.103201465005,152.664038811255,158.999490920911,163.168775032897,167.951140353568,173.36249706254,176.406314677106,178.948261629647,183.933809506846,190.239564874784,190.802658476687,193.987056039083,199.467558687622,206.129592607611,213.577245090519,222.301604624937,230.094852233683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"41537","Stichting Scala Coll.&Coenecoop College","Kees Mustersstraat 6","2406LK","ALPHEN AAN DEN RIJN","Zuid-Holland","0484","ALPHEN AAN DEN RIJN"
"4","VO","00CB","Scholengemeenschap voor Voortgezet Vrije Schoolonderwijs","Wilhelminasingel 13-15","6524AJ","NIJMEGEN","Gelderland","0268","NIJMEGEN",2109,2141,2119,2081,2076,2070,2109.71929203181,2086.82026908019,2059.2732358407,2052.46452988683,2043.10274658248,2040.02799705743,2027.44079395789,2022.97153236752,2007.7925056515,1999.15100741276,1996.97735598722,1990.96493311672,1996.81828774624,2012.36847121411,2038.39944019699,2071.18167251501,2110.60847639766,2157.44777063753,2199.3689961596,2236.1223559464,900,924,926,908,906,899,933.240400188979,922.083093489156,892.326197386014,889.531940827023,894.718055524601,892.191028810748,880.503927361679,869.526180035931,862.352543531518,865.20790140782,875.733970827446,876.452838199748,872.10130543655,884.323133153607,910.819175624411,932.505575383449,949.275406072718,969.513622773139,986.028217822068,996.146516557194,331,312,329,298,268,235,252.111273462464,250.132080109906,251.224515612357,250.878441586606,241.90121531958,241.288443833117,242.736061048571,242.12678295724,238.33017059996,234.858118950028,232.815039460415,232.754416337886,235.793191139074,235.869069742114,234.467547053281,237.831990651258,245.222687461935,250.841010632903,255.200690563041,262.076300950801,454,484,446,448,474,519,512.559915055792,517.040715724924,514.408176601298,515.43552643435,514.154477290076,512.174408243687,514.168466252375,520.003255060211,516.259516840681,510.862298497713,504.288641802921,501.046173538929,506.401267639397,507.559680505973,507.705815827979,511.745343212228,521.589083233254,533.54534615964,545.59605243662,556.809268438528,424,421,418,427,428,417,411.807703324575,397.5643797562,401.314346241031,396.618621038852,392.328998448224,394.374116169873,390.032339295269,391.315314314142,390.850274679342,388.2226885572,384.139703896438,380.71150504016,382.522523531222,384.616587812418,385.406901691318,389.098763268078,394.521299629749,403.547791071844,412.544035337871,421.090269999879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"41202","Stichting Scholengemeenschap voor Vrijeschoolonderwijs","Wilhelminasingel 13-15","6524AJ","NIJMEGEN","Gelderland","0268","NIJMEGEN"
"5","VO","00DI","rsg de Borgen voor Lyceum Havo Mavo Vbo Lwoo","Waezenburglaan 51a","9351HC","LEEK","Groningen","1969","WESTERKWARTIER",2857,2716,2528,2308,2189,2177,2151.37794670613,2140.07221151919,2095.20008546566,2091.43861667979,2045.85486815573,2028.24730478058,2038.60379424741,2038.137274793,2011.97088651604,2039.25011253624,2072.76746276357,2083.64009789223,2091.48827992394,2096.30229255317,2110.31066524019,2134.27258307796,2163.14739421093,2216.97761028713,2263.07114084366,2284.02406765835,1106,999,885,805,823,864,859.528553875864,856.996172015429,797.190845634613,801.174496442995,804.048264542618,794.350640318609,779.302787343036,789.265647875556,797.072869496057,821.231055270151,846.866599602811,831.196796475165,811.008921812057,822.968869442003,860.297437308517,868.401562645727,871.871103706693,899.482943591426,919.020121102419,912.374139310054,746,724,663,583,527,482,499.494761940675,508.622527646718,508.565874507632,508.490311357392,475.266851499228,475.378031788245,490.352274923151,481.324290805897,460.255539763934,468.056546003399,474.026798240603,484.173333392393,497.398613731466,490.876879023059,476.686415417065,485.623845720386,501.297254428042,511.258620712923,518.897441955928,531.749724457126,473,514,524,502,456,456,433.670518371161,429.215026783475,442.205611776633,434.877363786913,429.631435103856,423.680693283626,434.59348710173,434.769346129406,425.023534709683,421.448513869915,424.44598601542,436.012138568754,446.322519333349,445.345060632372,437.32679009097,440.619017420912,447.117972414182,457.777734206302,467.113968647756,475.328417347061,433,378,350,311,292,276,256.251311458863,241.264085362902,245.293930231584,245.322149806843,238.235858349298,239.261412432021,238.954695169588,237.552281557456,235.096961194663,234.489102448272,232.604802606894,238.370736179635,243.661281742707,244.085087928693,242.520836681029,244.780962539309,246.620254897517,251.034764961219,256.999951554423,261.220958390968,99,101,106,107,91,99,102.432801059569,103.974399710669,101.943823315195,101.574295285652,98.6724586607328,95.5765269580811,95.4005497099026,95.2257084246878,94.5219813516985,94.024894944507,94.8232762978456,93.887093276284,93.0969433043561,93.0263955270458,93.4791857426036,94.8471947516295,96.2408087644922,97.4235468152626,101.039657583134,103.350828153137,"41143","Stichting rsg de Borgen","Hereweg 101","9721AA","GRONINGEN","Groningen","0014","GRONINGEN"
"6","VO","00EF","Voortgezet Onderwijs van Amsterdam voor Vbo en Lwoo","Betuwestraat 29","1079PR","AMSTERDAM","Noord-Holland","0363","AMSTERDAM",505,523,537,547,525,528,529.546758436957,514.193059418146,526.841454171023,524.840223293494,517.722604714557,519.139454490907,515.536605985348,512.472560462757,513.356198187311,513.476771619718,515.124810835566,515.639568810198,516.823731670068,525.602304886435,535.839257500697,549.258101589654,564.622495360032,577.562926653138,589.123922691537,599.06265953336,252,244,263,290,257,243,267.294566163008,262.605190123742,259.35983292003,261.423479257251,255.866529955711,255.94530956515,256.838046907557,255.669645798475,255.562435808319,255.960529086295,258.016045005029,259.161280438025,258.896303870124,265.970901249458,275.539807767871,283.560703721938,288.627088353658,293.632006074579,299.237295054921,304.767257835335,253,279,274,257,268,285,262.252192273949,251.587869294404,267.481621250992,263.416744036243,261.856074758846,263.194144925758,258.698559077791,256.802914664282,257.793762378992,257.516242533424,257.108765830538,256.478288372173,257.927427799943,259.631403636977,260.299449732826,265.697397867716,275.995407006374,283.930920578559,289.886627636616,294.295401698025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"41854","Samenwerkingstichting Voortgezet Onderwijs  ROCvA (VO)","Fraijlemaborg 141","1102CV","AMSTERDAM","Noord-Holland","0363","AMSTERDAM"
"7","VO","00HI","Scholengemeenschap Dalton Vatel Voor Lyceum HAVO MAVO VBO LWOO","Loolaan 125","2271TM","VOORBURG","Zuid-Holland","1916","LEIDSCHENDAM-VOORBURG",1679,1587,1562,1440,1344,1316,1297.06131650971,1280.11208366593,1271.89334405847,1281.14410125605,1287.32166016704,1294.73277875003,1295.30035796684,1292.16156968758,1291.32392684751,1280.86837383225,1272.44796057529,1264.64154318516,1260.09825836387,1268.5127122231,1285.1961056573,1305.9986186219,1332.16154274629,1360.89397577664,1387.11038679695,1410.46247844515,642,608,573,545,485,499,516.154094528632,528.828107863674,524.829124189311,526.224775580237,524.873340328315,524.280895630457,524.191344247416,513.73524403306,510.242886682019,511.220860841572,505.407004651041,501.661405961366,506.119758168996,519.367849911823,533.366356753952,542.18608434271,556.829123329953,565.367228329601,572.30440361125,580.784828911407,387,349,347,309,290,309,292.343989004371,290.914527022436,294.792574230515,299.124672376253,299.401727339217,300.178453627914,298.519168268795,301.098250583944,301.309666820772,293.96587872715,292.740385941578,292.413589127603,286.855325822867,286.327122180875,289.397303274815,294.764703024116,300.541365968135,309.055782342689,317.471606330402,321.444569866613,316,313,337,311,292,248,236.85306280989,218.075838717216,220.225568829682,221.906299845194,228.047412813775,231.239032383101,232.887459475857,234.936310931571,236.601771471003,234.409096513955,232.858083063528,230.76540263494,229.906924657486,226.423124097374,226.757260903217,230.676269563037,233.38228422801,239.152122882596,244.48073417972,250.370845034287,334,317,305,275,277,260,251.710170166813,242.293610062607,232.046076808959,233.888353454362,234.99917968573,239.034397108558,239.702385974777,242.391764139004,243.169601873713,241.27253774957,241.442486919138,239.801145461254,237.216249714526,236.394616033032,235.675184725319,238.371561692034,241.408769220197,247.318842221749,252.853642675581,257.862234632848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"41298","Stg. Scholengroep Spinoza voor VO te Voorb., Leidschendam eo","V T v Serooskerkenstr 77-85","2273CD","VOORBURG","Zuid-Holland","1916","LEIDSCHENDAM-VOORBURG"
"8","VO","00IP","Katholiek Scholengemeenschap Hoofddorp voor Lyceum HAVO en MAVO","Assumburg 10","2135BA","HOOFDDORP","Noord-Holland","0394","HAARLEMMERMEER",1124,1256,1501,1568,1643,1703,1703.60153118124,1656.84108473452,1654.77932654226,1661.44591097963,1648.23519801018,1645.21269353734,1643.83940505087,1635.51357083519,1640.94749142831,1639.81865029554,1660.50714639206,1675.70404143501,1690.79376797875,1725.31102934594,1748.32694898004,1778.76949507806,1824.32438768393,1866.34063666512,1911.87513847669,1940.2710326109,488,568,743,719,629,642,700.610831769973,676.786166158597,650.501478720472,646.922419784785,643.512234099033,645.181613037088,655.213953774272,639.181926691642,640.459936782348,660.835648907219,687.852479742985,686.493309452948,673.707133038386,699.569495345319,720.776454172733,737.665520923563,759.158781720426,769.95889212029,783.951081000336,798.191948299095,213,219,244,254,255,263,230.256531113794,236.033806402559,253.202475234142,248.341488437316,238.414477226233,237.938458948855,236.127533553355,235.862793106573,238.095636965485,230.420352889482,228.969652668643,236.45819448039,244.056831555969,245.641113191923,241.865082156823,246.702402313541,255.847381503094,261.861408090501,271.051677276399,272.499178496811,266,289,312,372,469,496,482.606350027898,453.041075841304,469.847218052489,481.506713840173,477.163324790767,474.449368398041,470.98520451636,477.604280784171,477.490076085667,469.699705707822,465.150955942769,472.230260456907,487.209803077545,490.138302129737,492.850976469306,497.383056525824,508.809513304309,525.083147445763,538.341729404694,546.917912301265,157,180,202,223,290,302,290.127818269577,290.980036332056,281.228154535155,284.675288917359,289.145161894151,287.643253153352,281.512713206882,282.864570252804,284.901841594807,278.862942791013,278.534058037659,280.522277044766,285.820000306846,289.962118678964,292.834436181178,297.018515315137,300.508711156106,309.437189008566,318.530650795262,322.661993513733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"41021","Iris, Stichting voor Christ. Voortgez. Onderw.","Koediefslaan 69","2101BT","HEEMSTEDE","Noord-Holland","0397","HEEMSTEDE"
"9","VO","00JR","Scholengemeenschap Spieringshoek voor Gymnasium Atheneum en HAVO","Van der Brugghenlaan 2","3118LA","SCHIEDAM","Zuid-Holland","0606","SCHIEDAM",1548,1399,1276,1235,1201,1067,1019.82059544606,1018.6360872279,1014.51224129608,1004.77504394506,1034.99096796276,1057.86610456952,1067.9508376939,1069.73323173992,1076.99577690649,1085.65430310079,1097.42582195349,1106.45283179611,1117.99851262322,1148.12871564964,1180.76742271056,1215.27303960975,1247.001453547,1283.08895769829,1312.56771191313,1335.07311907233,562,436,356,362,416,373,362.821659391545,376.941241036518,375.287476467559,378.261197920318,390.543922444183,391.058469300899,398.317645226397,394.014743241045,395.137119240072,403.448227710409,409.035713426568,415.776003925591,420.11160401224,440.745853711737,460.130814355784,472.124488471093,481.283344934313,491.04880905867,501.303884963566,506.41907987117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597,607,601,565,461,411,387.689943205972,389.010560650502,385.856790856538,373.748773267223,392.07139570962,407.104541299585,406.036400593061,412.634431731574,413.994321361391,415.238764310187,419.494093720872,419.584057728248,425.082862319426,429.75173640369,438.636328654493,453.39842974412,465.972613814905,482.694207755098,493.657642326438,503.595688197061,389,356,319,308,324,283,269.30899284854,252.684285540883,253.367973971981,252.765072757517,252.37564980896,259.70309396904,263.596791874445,263.084056767303,267.864336305025,266.967311080198,268.89601480605,271.092770142275,272.804046291556,277.631125534213,282.000279700283,289.750121394537,299.745494797785,309.345940884525,317.606184623128,325.058351004101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"23155","Sticht. voor Katholiek Onderw. Sint-Liduina","Van der Brugghenlaan 2","3118LA","SCHIEDAM","Zuid-Holland","0606","SCHIEDAM"
"10","VO","00JT","Gereformeerde Scholengemeenschap Guido voor Lyceum HAVO MAVO VBO LWOO","Paladijnenweg 251","3813DH","AMERSFOORT","Utrecht","0307","AMERSFOORT",1789,1761,1767,1728,1758,1761,1779.70064534606,1773.8586211813,1723.47108564283,1690.49427859405,1668.51576724685,1659.92388897976,1658.49914664152,1657.46871253212,1658.22052094561,1653.7619253497,1654.8404405262,1653.23169450108,1654.37252677448,1668.06090992258,1700.75418232495,1733.22174738889,1774.86837433628,1810.21009930065,1843.78619599786,1875.70644407589,738,770,762,730,770,774,740.920667631591,740.221856659076,725.078290282045,714.784574063113,706.277809410368,700.964330808624,707.030571610562,705.178552074592,700.946158091995,699.479075211561,703.574758891847,709.822541125607,708.67639993909,719.802638840755,747.339702578799,764.611591869306,777.07125994703,784.185552687595,795.409236852392,812.68755300798,333,352,364,357,339,310,345.694453945345,342.642344237091,317.366322274658,315.669597239563,311.367299240736,307.263606719944,304.197679788867,302.973412413581,306.166923408735,303.717945228314,301.495509695515,299.762291054036,299.675743885108,303.149275831353,303.379532278347,307.90512648218,320.704243788759,329.992866228618,335.611452992146,338.921556108251,394,343,366,358,371,397,410.943314074917,415.342964347778,406.790993115877,388.592763990846,389.883273248622,391.035135475802,388.23036043095,390.2049435279,391.074585042302,391.964476083705,390.411227316496,386.165216753325,387.789736101833,386.666514968228,390.998912737317,396.601287837576,406.197149760432,418.741884698272,428.560043962548,434.731595761243,324,296,275,283,278,280,282.142209694209,275.651455937352,274.235479970245,271.447343300533,260.987385347128,260.66081597539,259.040534811141,259.111804516045,260.032854402579,258.600428826116,259.35894462234,257.481645568117,258.23064684845,258.442480282242,259.036034730489,264.103741199828,270.89572084006,277.289795686161,284.205462190771,289.365739198414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"40323","Ver. Gereformeerd Voortgezet Onderwijs v. Midden-Nederland","Paladijnenweg 251","3813DH","AMERSFOORT","Utrecht","0307","AMERSFOORT"
"11","VO","00KV","KSE (Katholieke Scholengemeenschap Etten-Leur e.o.)","Stijn Streuvelslaan 42","4873EB","ETTEN-LEUR","Noord-Brabant","0777","ETTEN-LEUR",2483,2518,2501,2497,2516,2476,2476.84883004396,2447.69365098789,2407.5038092069,2370.5783544023,2349.77686742749,2336.8305129462,2331.64184615401,2336.98161735412,2335.63163345759,2299.72203903623,2309.77630191918,2295.33767656769,2286.10431355394,2290.28985901197,2314.97021202173,2346.97567800421,2376.59095521213,2423.97885331122,2451.69632238001,2488.22152557106,1030,1013,920,912,949,951,972.631954824673,937.412193729966,901.153519701771,896.280799593672,904.765615990941,909.205961953705,900.216862944611,889.921348709395,885.512772134866,863.232307551474,879.585994088278,887.524861150446,870.466253051126,885.499258885061,910.435475197707,923.664324113868,941.300789755183,960.48113865546,959.217959305253,971.641796171668,265,278,300,290,255,233,236.387938659364,240.091891199434,236.970830867003,228.786314643498,221.921797736745,219.510898133921,221.902891887275,223.445131300157,221.183949897739,217.893693914505,217.838226085353,211.719933542167,214.266069126381,216.081587960821,212.465153199513,216.606978008084,219.985415667671,224.636381815958,229.981029962534,233.664474367938,703,709,696,699,688,726,729.926888779411,730.270973742154,730.73381527855,715.426625287958,704.642820869232,696.712078917698,701.827127373055,712.627717226278,715.256931149634,706.759075998689,703.13464510975,693.974505761092,693.859068729414,688.254350672514,692.923774735718,697.787715145014,704.62275249637,717.4729125364,731.624170592502,744.773663018664,485,518,585,596,624,566,537.90204778051,539.918592316332,538.645643359576,530.084614877171,518.446632830577,511.401573940874,507.694963949069,510.987420118292,513.677980275348,511.836961571563,509.217436635797,502.118376113989,507.51292264702,500.454661493577,499.145808888796,508.916660737248,510.681997292907,521.388420303405,530.87316251972,538.141592012793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"26093","Stg. Kath. Scholengemeenschap Etten-Leur en omgeving","Stijn Streuvelslaan 42","4873EB","ETTEN-LEUR","Noord-Brabant","0777","ETTEN-LEUR"
"12","VO","00LJ","Christelijk College Schaersvoorde voor Atheneum Havo Mavo Vbo Lwoo","Slingelaan 28","7122AW","AALTEN","Gelderland","0197","AALTEN",1722,1685,1682,1627,1624,1557,1476.09800684033,1403.74178338523,1325.60319411883,1287.00725847483,1275.26137714019,1277.81866719333,1259.22300622964,1235.18008093223,1230.6809111558,1226.94867277415,1242.0045262496,1255.74469789147,1258.57157685633,1252.0665295999,1261.56516031346,1274.3314681456,1295.81406882825,1312.90586389632,1320.066353979,1321.15685790426,772,732,726,697,695,646,590.206693646051,576.927187063078,572.459951913828,563.854346264956,563.902712552344,568.366949449219,552.825089857009,521.80468474507,533.722535264374,559.090672698525,569.577545697207,559.684051669196,550.459326686004,550.68916457535,569.36025299574,589.126974745238,586.922479146676,586.136220430032,591.103921194212,589.384960076949,487,488,482,450,435,446,437.969836531963,415.32797370217,369.047837731597,361.154667243463,359.348821303439,357.386223297822,355.131124569642,358.667129495651,345.818419297574,327.813653030933,335.607406127192,353.519434270648,356.128757711673,348.414103635932,343.69566134713,341.025959687979,356.934867024176,367.335907342658,364.871422261607,366.091372306331,262,259,280,279,275,264,244.684061884497,225.736152538196,213.788872602224,196.84028371334,195.56925303422,197.006314162663,196.640825354132,198.774860016202,196.982017525887,190.473358194347,186.849294114478,191.550594209112,198.566915353003,197.737009684647,194.423826413541,192.181500060227,196.093006334056,200.997543596697,204.081846185032,204.143485512728,201,206,194,201,219,201,203.237414777816,185.750470081786,170.306531871182,165.157961253077,156.440590250189,155.059180283623,154.625966448853,155.933406675309,154.157939067969,149.570988850344,149.970280310726,150.990617742512,153.416577105655,155.226251703968,154.085419557051,151.997033652153,155.863716323339,158.436192526929,160.009164338153,161.537040008249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"42571","Stichting Achterhoek VO","Holterweg 119","7001EK","DOETINCHEM","Gelderland","0222","DOETINCHEM"
